group,figure,cell,statistic,old,new,delta
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle brake,nDG@20% of ego speed,0.2402579751052636,0.2084754718906193,-0.03178250321464429
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle brake,nDG@20% of random,0.14819521594658883,0.14819521594658883,0.0
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle brake,ego speed above random,True,True,
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono brake,nDG@20% of ego speed,0.0993474807839062,0.1482755758668864,0.04892809508298018
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono brake,nDG@20% of random,0.13228487592807572,0.13228487592807572,0.0
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono brake,ego speed above random,False,True,
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle plan_ade,nDG@20% of ego speed,-0.0306377487065602,-0.0207808220821678,0.009856926624392397
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle plan_ade,nDG@20% of random,-0.00581607072770557,-0.00581607072770557,0.0
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle plan_ade,ego speed above random,False,False,
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono plan_ade,nDG@20% of ego speed,-0.0238365235346629,-0.0150854885770765,0.008751034957586399
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono plan_ade,nDG@20% of random,0.09224147137252524,0.09224147137252524,0.0
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono plan_ade,ego speed above random,False,False,
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle plan_fde,nDG@20% of ego speed,0.0196106955544578,0.0239721092367207,0.0043614136822629004
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle plan_fde,nDG@20% of random,0.059129469825502164,0.059129469825502164,0.0
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes oracle plan_fde,ego speed above random,False,False,
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono plan_fde,nDG@20% of ego speed,-0.0047150504777049,0.0065818768953703,0.011296927373075201
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono plan_fde,nDG@20% of random,0.0797070253576951,0.0797070253576951,0.0
"1 held-out nDG@20%, ego speed",C15 statistics hardening,nuScenes mono plan_fde,ego speed above random,False,False,
"2 realised gain vs random, every draw kept",C15 statistics hardening,all tracks,rows where ego speed beats random,10,10,0.0
"2 realised gain vs random, every draw kept",C15 statistics hardening,all tracks,which rows,KITTI mono brake @20%; KITTI mono brake @30%; KITTI mono brake @50%; KITTI oracle brake @20%; KITTI oracle brake @30%; KITTI oracle brake @50%; KITTI oracle traj @30%; KITTI oracle traj @50%; nuPlan nan pdm_closed @50%; nuScenes oracle brake @50%,KITTI mono brake @20%; KITTI mono brake @30%; KITTI mono brake @50%; KITTI oracle brake @20%; KITTI oracle brake @30%; KITTI oracle brake @50%; KITTI oracle traj @30%; KITTI oracle traj @50%; nuPlan nan pdm_closed @50%; nuScenes oracle brake @50%,
"2 realised gain vs random, every draw kept",C15 statistics hardening,all tracks,rows won at the 10% quota,0,0,0.0
"2 realised gain vs random, every draw kept",C15 statistics hardening,all tracks,rows won at the 20% quota,2,2,0.0
"2 realised gain vs random, every draw kept",C15 statistics hardening,all tracks,rows won at the 30% quota,3,3,0.0
"2 realised gain vs random, every draw kept",C15 statistics hardening,all tracks,rows won at the 50% quota,5,5,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_dE,comparisons,52,52,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_dE,argmax differs,43,43,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_dE,"Kendall tau between the rankings, median",0.1999999999999999,0.17142857142857135,-0.028571428571428553
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_dE,"selection regret, median nDG",-0.0952365131068818,-0.0952365131068818,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_dE,"selection regret, median share of the all-cheap loss",-0.00523761224395285,-0.00523761224395285,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_dE,the E_perc winner is worse than random on decision value,15,15,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_dE,regret intervals excluding zero,5,5,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_risk,comparisons,52,52,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_risk,argmax differs,40,40,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_risk,"Kendall tau between the rankings, median",0.1999999999999999,0.1999999999999999,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_risk,"selection regret, median nDG",-0.08582091511398435,-0.0782952611770029,0.007525653936981444
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_risk,"selection regret, median share of the all-cheap loss",-0.0056318789093049,-0.0056318789093049,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_risk,the E_perc winner is worse than random on decision value,20,20,0.0
3 objective swap (C17) headline,13 defined cells x 4 budgets,E_perc_risk,regret intervals excluding zero,0,0,0.0
4 trivial heuristics of the core matrix,core matrix,nuScenes mono longitudinal,best trivial heuristic,speed + detections,speed + detections,
4 trivial heuristics of the core matrix,core matrix,nuScenes mono longitudinal,its nDG@20%,0.2865999230842881,0.2884825026986984,0.0018825796144102958
4 trivial heuristics of the core matrix,core matrix,nuScenes mono lateral,best trivial heuristic,n detections,n detections,
4 trivial heuristics of the core matrix,core matrix,nuScenes mono lateral,its nDG@20%,0.3199580779453193,0.3199580779453193,0.0
4 trivial heuristics of the core matrix,core matrix,nuScenes oracle longitudinal,best trivial heuristic,ego speed,ego speed,
4 trivial heuristics of the core matrix,core matrix,nuScenes oracle longitudinal,its nDG@20%,0.3173379295091991,0.3033383132552623,-0.013999616253936809
4 trivial heuristics of the core matrix,core matrix,nuScenes oracle lateral,best trivial heuristic,n detections,n detections,
4 trivial heuristics of the core matrix,core matrix,nuScenes oracle lateral,its nDG@20%,0.3400466207875235,0.3400466207875235,0.0
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes mono longitudinal,median per-sequence nDG,0.0,0.0,0.0
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes mono longitudinal,sequences above 0.5,7,8,1.0
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes mono longitudinal,Wilcoxon p (oracle > policy),1.2982842609434888e-07,2.6996083081315704e-07,1.4013240471880816e-07
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes mono lateral,median per-sequence nDG,0.5,0.2000000000000001,-0.29999999999999993
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes mono lateral,sequences above 0.5,2,1,-1.0
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes mono lateral,Wilcoxon p (oracle > policy),0.0544047150202728,0.0327998460735359,-0.021604868946736897
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes oracle longitudinal,median per-sequence nDG,0.0,0.0,0.0
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes oracle longitudinal,sequences above 0.5,3,5,2.0
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes oracle longitudinal,Wilcoxon p (oracle > policy),1.359305229394601e-05,4.0958264387744285e-05,2.7365212093798273e-05
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes oracle lateral,median per-sequence nDG,0.0,0.0,0.0
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes oracle lateral,sequences above 0.5,1,1,0.0
5 per-sequence ego-speed policy,53 statistical tests (run copies only),nuScenes oracle lateral,Wilcoxon p (oracle > policy),0.0227501319481791,0.0227501319481791,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes oracle brake,nDG@20% of ego speed,0.2084754718906193,0.2084754718906193,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes oracle brake,nDG@20% of random,0.14819521594658883,0.14819521594658883,0.0
"6 sensitivity: a scene's first frame dropped, not zeroed",reported causal -> first frame dropped,nuScenes oracle brake,ego speed above random,True,True,
